"","preference","competence","normative","regret","check_1","check_2","check_3","gender","age"
"3",3,3,3,2,"6","9","9",1,"12"
"4",3,1,3,3,"6","9","9",1,"12"
"5",-3,-2,0,5,"3","8","5",2,"32"
"6",0,0,-3,0,"6","9","9",2,"32"
"7",-2,-1,0,0,"6","9","9",2,"30"
"8",0,0,-2,5,"2","6","6",1,"30"
"9",-3,-3,-4,5,"3","6","7",2,"29"
"10",0,0,-3,0,"4","9","5",2,"36"
"11",-2,-1,0,4,"6","9","9",2,"29"
"12",2,-3,1,5,"3","3","6",2,"39"
"13",3,0,-1,2,"6","9","9",2,"29"
"14",0,0,0,0,"6","9","9",1,"18"
"15",-3,-3,-2,5,"6","9","9",2,"30"
"16",-1,0,0,0,"1","1","3",1,"31"
"17",-2,0,-3,3,"3","9","7",2,"65"
"18",4,4,-3,-4,"2","5","2",2,"31"
"19",0,0,-2,2,"3","4","2",2,"31"
"20",-3,-3,-1,5,"3","6","5",2,"48"
"21",0,0,0,0,"5","5","1",2,"42"
"22",0,0,-5,-5,"1","8","5",1,"27"
"23",-3,-3,-2,4,"3","6","5",1,"32"
"24",-2,-5,-3,5,"6","9","9",1,"40"
"25",-2,-2,0,4,"2","5","1",1,"31"
"26",-3,5,1,5,"6","9","9",2,"38"
"27",-3,-3,-3,3,"6","9","9",2,"62"
"28",0,2,2,-3,"6","9","9",1,"60"
"29",-3,0,-4,-5,"6","9","9",2,"81"
"30",-3,-3,-3,4,"6","9","9",1,"43"
"31",-2,-1,-2,4,"2","6","2",2,"19"
"32",0,0,0,4,"6","9","9",2,"44"
"33",5,5,-5,0,"6","9","9",2,"53"
"34",-1,0,2,1,"5","6","4",1,"19"
"35",1,0,0,-2,"2","9","6",2,"50"
"36",-3,0,1,5,"1","4","1",2,"51"
"37",-4,2,-1,4,"1","8","5",1,"32"
"38",5,-5,5,-5,"6","9","9",1,"30"
"39",0,0,2,0,"6","9","9",2,"51"
"40",0,-1,-1,0,"3","7","5",2,"37"
"41",-5,0,-3,-3,"8","6","7",2,"22"
"42",-4,1,2,4,"3","1","4",1,"24"
"43",-1,0,0,0,"2","7","1",2,"50"
"44",-3,-3,-3,3,"5","6","4",2,"18"
"45",0,0,2,0,"6","9","9",1,"20"
"46",-4,0,-3,2,"6","9","9",3,"26"
"47",-3,0,-4,4,"6","9","9",2,"35"
"48",-4,-4,-3,5,"6","9","9",2,"40"
"49",1,2,1,5,"6","9","9",2,"39"
"50",-4,-2,-3,0,"6","9","9",1,"26"
"51",-4,-5,0,4,"6","9","9",2,"19"
"52",-5,-5,-1,4,"6","9","9",2,"19"
"53",-2,0,-2,3,"2","9","2",1,"63"
"54",0,0,1,2,"6","6","6",2,"24"
"55",4,5,0,0,"7","5","3",2,"26"
"56",5,5,5,5,"1","4","4",1,"56"
"57",0,0,0,0,"5","6","4",2,"33"
"58",3,0,3,-3,"1","8","5",2,"49"
"59",0,0,0,3,"5","7","4",1,"70"
"60",-5,-5,5,5,"6","9","9",1,"48"
"61",3,0,-3,0,"6","9","9",1,"30"
"62",0,0,0,5,"6","9","9",2,"38"
"63",0,0,-4,5,"4","7","1",2,"43"
"64",0,0,0,5,"5","8","5",2,"33"
"65",-1,0,-3,4,"7","7","3",2,"26"
"66",-3,-3,-4,3,"6","9","9",2,"28"
"67",0,0,-1,3,"4","6","4",1,"29"
"68",-4,-4,-4,5,"6","9","9",2,"25"
"69",-2,-2,2,5,"6","9","9",2,"31"
"70",0,3,-4,-5,"3","8","5",2,"25"
"71",-3,-3,-4,5,"6","9","9",1,"35"
"72",-2,-1,0,3,"3","6","2",1,"63"
"73",0,0,2,-2,"6","9","9",1,"26"
"74",1,1,5,-5,"5","9","5",2,"30"
"75",0,0,-3,5,"6","9","9",2,"45"
"76",0,0,-5,0,"6","9","9",1,"32"
"77",0,-2,-3,0,"6","9","9",2,"43"
"78",-2,-1,-2,3,"6","9","9",2,"23"
"79",-1,0,3,3,"6","9","9",2,"31"
"80",0,-4,-1,3,"4","4","1",2,"40"
"81",0,-3,3,3,"6","9","9",2,"46"
"82",-2,1,-3,5,"4","8","7",1,"21"
"83",-3,0,-2,5,"6","9","9",2,"42"
"84",0,0,0,4,"6","9","9",1,"27"
"85",-1,0,-1,1,"6","9","9",2,"27"
"86",0,0,0,0,"6","9","9",2,"64"
"87",0,0,0,2,"6","9","9",2,"59"
"88",0,0,0,0,"9","9","7",2,"41"
"89",-1,-1,-3,5,"6","9","9",1,"27"
"90",-4,1,-5,5,"6","9","9",2,"22"
"91",0,0,-3,3,"2","5","4",1,"37"
"92",2,2,-3,5,"3","2","2",1,"23"
"93",-2,-1,-1,3,"6","9","9",1,"27"
"94",-5,0,0,5,"7","4","3",2,"28"
"95",-2,1,2,-2,"6","9","9",2,"53"
"96",-5,-1,1,5,"6","6","3",2,"20"
"97",0,0,-1,0,"6","9","9",1,"31"
"98",-2,-1,-1,4,"6","9","9",2,"41"
"99",0,-1,-1,3,"1","6","7",2,"28"
"100",5,5,2,-2,"6","9","9",2,"32"
"101",0,0,-2,3,"3","6","6",2,"32"
"102",-2,0,3,5,"6","9","9",2,"21"
"103",-1,-1,-2,4,"6","9","9",2,"32"
"104",0,0,0,0,"3","7","5",2,"37"
"105",-5,-5,-3,5,"1","3","3",1,"47"
"106",-3,0,0,5,"6","9","9",2,"47"
"107",-4,-2,-2,5,"6","9","9",1,"30"
"108",0,0,1,0,"2","6","3",1,"29"
"109",0,0,0,-2,"1","8","2",2,"37"
"110",2,-3,1,-3,"7","5","2",2,"25"
"111",-1,0,-3,0,"4","8","6",2,"26"
"112",0,-1,-2,1,"3","7","5",2,"23"
"113",0,1,3,5,"6","9","9",2,"44"
"114",0,0,-3,3,"3","8","6",2,"31"
"115",0,-2,3,3,"6","9","9",2,"35"
"116",-2,0,-1,3,"6","9","9",1,"38"
"117",-3,0,-3,4,"6","9","9",2,"32"
"118",1,0,-5,4,"3","6","5",2,"29"
"119",-5,0,-5,5,"6","9","9",1,"31"
"120",-1,-3,-2,5,"2","8","7",2,"39"
"121",0,1,2,3,"6","9","9",2,"40"
"122",0,0,-2,0,"2","5","2",1,"39"
"123",0,0,-3,3,"6","9","9",1,"35"
"124",0,0,0,3,"6","9","9",2,"34"
"125",-1,0,0,2,"1","7","5",1,"53"
"126",3,-3,4,4,"2","8","5",2,"23"
"127",-1,-3,-5,5,"4","9","2",2,"27"
"128",0,-1,0,2,"6","9","5",1,"43"
"129",-1,0,-1,1,"6","9","9",2,"47"
"130",4,4,-5,4,"6","9","9",1,"33"
